month_start,store_id,shrink_pct
2025-09-01,Store_001,0.018
2025-09-01,Store_002,0.0132
2025-09-01,Store_003,0.0171
2025-09-01,Store_004,0.0264
2025-09-01,Store_005,0.0164
2025-09-01,Store_006,0.0264
2025-09-01,Store_007,0.022
2025-09-01,Store_008,0.0177
2025-09-01,Store_009,0.0171
2025-09-01,Store_010,0.0195
2025-09-01,Store_011,0.0259
2025-09-01,Store_012,0.0208
2025-09-01,Store_013,0.0198
2025-09-01,Store_014,0.0189
2025-09-01,Store_015,0.0195
2025-09-01,Store_016,0.0214
2025-09-01,Store_017,0.008
2025-09-01,Store_018,0.0155
2025-09-01,Store_019,0.0119
2025-09-01,Store_020,0.0238
2025-10-01,Store_001,0.0223
2025-10-01,Store_002,0.008
2025-10-01,Store_003,0.0233
2025-10-01,Store_004,0.0194
2025-10-01,Store_005,0.0103
2025-10-01,Store_006,0.0149
2025-10-01,Store_007,0.0252
2025-10-01,Store_008,0.0257
2025-10-01,Store_009,0.0247
2025-10-01,Store_010,0.0188
2025-10-01,Store_011,0.0237
2025-10-01,Store_012,0.0189
2025-10-01,Store_013,0.0208
2025-10-01,Store_014,0.0224
2025-10-01,Store_015,0.0254
2025-10-01,Store_016,0.0139
2025-10-01,Store_017,0.024
2025-10-01,Store_018,0.0194
2025-10-01,Store_019,0.0207
2025-10-01,Store_020,0.0146
2025-11-01,Store_001,0.0125
2025-11-01,Store_002,0.0196
2025-11-01,Store_003,0.0222
2025-11-01,Store_004,0.0239
2025-11-01,Store_005,0.0151
2025-11-01,Store_006,0.0162
2025-11-01,Store_007,0.0252
2025-11-01,Store_008,0.0242
2025-11-01,Store_009,0.0211
2025-11-01,Store_010,0.0211
2025-11-01,Store_011,0.0294
2025-11-01,Store_012,0.0225
2025-11-01,Store_013,0.0099
2025-11-01,Store_014,0.0142
2025-11-01,Store_015,0.0176
2025-11-01,Store_016,0.0192
2025-11-01,Store_017,0.015
2025-11-01,Store_018,0.0148
2025-11-01,Store_019,0.0157
2025-11-01,Store_020,0.0237
2025-12-01,Store_001,0.0178
2025-12-01,Store_002,0.0181
2025-12-01,Store_003,0.0209
2025-12-01,Store_004,0.0172
2025-12-01,Store_005,0.0288
2025-12-01,Store_006,0.0222
2025-12-01,Store_007,0.0237
2025-12-01,Store_008,0.0146
2025-12-01,Store_009,0.0182
2025-12-01,Store_010,0.0177
2025-12-01,Store_011,0.0201
2025-12-01,Store_012,0.0282
2025-12-01,Store_013,0.0158
2025-12-01,Store_014,0.0159
2025-12-01,Store_015,0.0096
2025-12-01,Store_016,0.0175
2025-12-01,Store_017,0.0132
2025-12-01,Store_018,0.0094
2025-12-01,Store_019,0.0165
2025-12-01,Store_020,0.0153
2026-01-01,Store_001,0.0273
2026-01-01,Store_002,0.0152
2026-01-01,Store_003,0.0084
2026-01-01,Store_004,0.0098
2026-01-01,Store_005,0.0178
2026-01-01,Store_006,0.0226
2026-01-01,Store_007,0.0203
2026-01-01,Store_008,0.0329
2026-01-01,Store_009,0.0199
2026-01-01,Store_010,0.0124
2026-01-01,Store_011,0.0303
2026-01-01,Store_012,0.008
2026-01-01,Store_013,0.0183
2026-01-01,Store_014,0.0084
2026-01-01,Store_015,0.0173
2026-01-01,Store_016,0.0081
2026-01-01,Store_017,0.0174
2026-01-01,Store_018,0.0153
2026-01-01,Store_019,0.0181
2026-01-01,Store_020,0.031
2026-02-01,Store_001,0.0247
2026-02-01,Store_002,0.0273
2026-02-01,Store_003,0.0165
2026-02-01,Store_004,0.0313
2026-02-01,Store_005,0.0125
2026-02-01,Store_006,0.0225
2026-02-01,Store_007,0.0135
2026-02-01,Store_008,0.0193
2026-02-01,Store_009,0.0194
2026-02-01,Store_010,0.0202
2026-02-01,Store_011,0.0201
2026-02-01,Store_012,0.0169
2026-02-01,Store_013,0.0202
2026-02-01,Store_014,0.0136
2026-02-01,Store_015,0.0232
2026-02-01,Store_016,0.0175
2026-02-01,Store_017,0.023
2026-02-01,Store_018,0.0166
2026-02-01,Store_019,0.008
2026-02-01,Store_020,0.0112
