customer_id,signup_date,source_channel,email_opt_in,loyalty_member
1,2026-01-08,Email,True,False
2,2025-09-22,Email,True,False
3,2025-07-06,Direct,False,True
4,2025-07-23,Paid Search,True,True
5,2025-02-26,Direct,True,False
6,2025-11-20,Paid Social,False,True
7,2025-02-14,Email,False,False
8,2025-03-31,Direct,False,False
9,2025-09-13,Paid Social,True,False
10,2025-09-30,Email,True,False
11,2025-07-22,Email,True,True
12,2025-07-14,Direct,False,False
13,2026-01-15,Organic Search,True,False
14,2026-02-03,Paid Search,False,True
15,2026-01-27,Paid Social,False,False
16,2025-01-30,Organic Search,True,False
17,2025-04-13,Paid Search,True,True
18,2025-02-07,Organic Search,True,False
19,2026-01-20,Email,True,True
20,2025-08-24,Paid Search,True,True
21,2025-03-18,Direct,True,True
22,2025-06-14,Paid Search,False,False
23,2025-04-03,Email,False,False
24,2025-09-15,Email,True,False
25,2025-05-03,Paid Social,True,False
26,2025-07-02,Organic Search,False,True
27,2025-06-11,Email,True,True
28,2025-01-05,Organic Search,True,True
29,2025-11-12,Paid Search,True,True
30,2025-05-07,Paid Social,False,True
31,2025-07-06,Paid Social,True,True
32,2025-05-16,Paid Social,False,False
33,2025-01-10,Direct,True,False
34,2025-02-12,Paid Social,True,False
35,2025-01-10,Email,True,False
36,2025-04-09,Paid Search,False,False
37,2025-11-24,Paid Social,True,False
38,2025-07-06,Paid Search,False,True
39,2025-10-03,Email,False,False
40,2026-01-16,Paid Social,False,False
41,2025-05-03,Organic Search,True,False
42,2026-01-09,Paid Social,True,False
43,2025-08-15,Paid Social,False,False
44,2025-08-23,Email,True,True
45,2025-10-23,Direct,True,True
46,2025-12-01,Email,True,False
47,2025-09-25,Paid Social,True,False
48,2025-01-02,Paid Social,True,True
49,2025-12-14,Email,False,False
50,2025-08-15,Organic Search,True,False
51,2025-07-04,Direct,False,False
52,2025-12-05,Paid Social,True,True
53,2025-09-21,Direct,True,True
54,2025-04-15,Paid Social,True,False
55,2025-05-23,Organic Search,True,False
56,2025-10-01,Organic Search,False,True
57,2026-01-10,Direct,True,False
58,2025-02-24,Email,True,True
59,2026-01-12,Paid Social,True,False
60,2026-01-16,Organic Search,False,False
61,2025-07-09,Email,True,False
62,2025-11-05,Paid Social,True,True
63,2025-10-31,Email,True,False
64,2025-02-12,Paid Social,True,False
65,2025-03-23,Direct,True,False
66,2025-07-26,Paid Search,True,True
67,2025-11-26,Direct,True,False
68,2025-07-18,Organic Search,True,False
69,2025-03-31,Paid Social,True,False
70,2025-03-26,Paid Search,True,False
71,2025-01-06,Email,True,False
72,2025-05-29,Email,True,False
73,2025-05-04,Paid Search,True,False
74,2025-03-05,Organic Search,True,False
75,2025-11-03,Organic Search,True,False
76,2025-12-12,Paid Social,False,False
77,2025-11-30,Paid Social,False,False
78,2026-01-05,Email,True,True
79,2025-09-12,Paid Search,True,False
80,2025-08-22,Paid Search,True,True
81,2025-05-03,Paid Search,False,False
